"Tesla Model S ";"2017";"37500";"1074750"
"Tesla Model X 75D";"2016";"60800";"1727936"
"Tesla Model S 85D";"2015";"36500";"1046455"
"Tesla Model X ";"2017";"57500";"1648525"
"Tesla Model S S85";"2014";"30888";"880926"
"Tesla Model S 75";"2016";"35500";"1011040"
"Tesla Model X 100D";"2018";"80900";"2310504"
"Tesla Model X P100D Performance EU";"2020";"117523";"3340000"
"Tesla Model 3 Dual Motors";"2019";"43888";"1251247"
"Tesla Model 3 75 kWh RWD";"2018";"36000";"1023120"
